2023-11-23 11:25:17.105 [restartedMain] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: Failed to process import candidates for configuration class [tech.twocats.admin.AppMain]; nested exception is java.lang.IllegalArgumentException: Unresolvable class definition for class [org.springdoc.core.conditions.MultipleOpenApiSupportCondition]
2023-11-23 21:34:56.233 [restartedMain] WARN  org.springframework.security.core.userdetails.User - User.withDefaultPasswordEncoder() is considered unsafe for production and is only intended for sample applications.
2023-11-23 21:36:37.476 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[tech.twocats.admin]' package. Please check your configuration.
2023-11-23 21:36:38.190 [restartedMain] WARN  org.springframework.security.core.userdetails.User - User.withDefaultPasswordEncoder() is considered unsafe for production and is only intended for sample applications.
2023-11-23 21:42:12.273 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[tech.twocats.admin]' package. Please check your configuration.
2023-11-23 21:42:12.957 [restartedMain] WARN  org.springframework.security.core.userdetails.User - User.withDefaultPasswordEncoder() is considered unsafe for production and is only intended for sample applications.
2023-11-23 21:42:31.583 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[tech.twocats.admin]' package. Please check your configuration.
2023-11-23 21:42:32.193 [restartedMain] WARN  org.springframework.security.core.userdetails.User - User.withDefaultPasswordEncoder() is considered unsafe for production and is only intended for sample applications.
2023-11-23 21:46:35.314 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[tech.twocats.admin]' package. Please check your configuration.
2023-11-23 21:46:35.995 [restartedMain] WARN  org.springframework.security.core.userdetails.User - User.withDefaultPasswordEncoder() is considered unsafe for production and is only intended for sample applications.
2023-11-23 21:47:38.209 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[tech.twocats.admin]' package. Please check your configuration.
2023-11-23 21:47:38.855 [restartedMain] WARN  org.springframework.security.core.userdetails.User - User.withDefaultPasswordEncoder() is considered unsafe for production and is only intended for sample applications.
2023-11-23 21:48:38.523 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[tech.twocats.admin]' package. Please check your configuration.
2023-11-23 21:48:39.286 [restartedMain] WARN  org.springframework.security.core.userdetails.User - User.withDefaultPasswordEncoder() is considered unsafe for production and is only intended for sample applications.
2023-11-23 21:49:24.750 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[tech.twocats.admin]' package. Please check your configuration.
2023-11-23 21:49:25.404 [restartedMain] WARN  org.springframework.security.core.userdetails.User - User.withDefaultPasswordEncoder() is considered unsafe for production and is only intended for sample applications.
